block	model	mirror	angle	time	response	time2	diff	type
main	Modell14B	mirroredY315	29	1429006.4	1	1430336.4	1330	rm_hit
main	Modell14A	originalY180	15	1430872.8	1	1433179	2306.2	rm_hit
main	Modell9A	mirroredY270	25	1433705.7	2	1438466.9	4761.2	rm_hit
main	Modell4B	mirroredY180	17	1438988.3	1	1444356.1	5367.8	rm_hit
main	Modell13B	mirroredY315	29	1444887.4	1	1446006.3	1118.9	rm_hit
main	Modell16A	originalZ315	28	1446537.1	1	1448472.2	1935.1	rm_hit
main	Modell13A	mirroredZ180	18	1449003.4	2	1451844.1	2840.7	rm_hit
main	Modell9A	originalZ315	28	1452369.6	1	1453637.1	1267.5	rm_hit
main	Modell3A	mirroredZ90	10	1454169.4	2	1457487.5	3318.1	rm_hit
main	Modell6A	originalZ135	12	1458018.8	1	1461053.2	3034.4	rm_hit
main	Modell9B	originalZ270	24	1461584.9	2	1463100.9	1516	rm_hit
main	Modell5A	mirroredY45	5	1463634.6	2	1464894	1259.4	rm_hit
main	Modell11A	originalZ135	12	1465417.7	1	1468928.9	3511.2	rm_hit
main	Modell1A	originalY180	15	1469450.4	1	1472291.1	2840.7	rm_hit
main	Modell11A	originalY180	15	1472816.6	2	1476121.9	3305.3	rm_incorrect
main	Modell4A	mirroredZ315	30	1476649.4	2	1478975	2325.6	rm_hit
main	Modell4A	mirroredY270	25	1479499	2	1480798.6	1299.6	rm_hit
main	Modell11A	mirroredZ45	6	1481332	2	1482999.3	1667.3	rm_hit
main	Modell12B	originalZ270	24	1483531.7	2	1486005.2	2473.5	rm_hit
main	Modell12B	mirroredY0	2	1486531.3	1	1488531.8	2000.5	rm_hit
main	Modell5A	mirroredZ180	18	1489064.2	2	1491445.8	2381.6	rm_hit
main	Modell1A	originalZ180	16	1491980.5	1	1495612.7	3632.2	rm_hit
main	Modell11B	mirroredZ270	26	1496146.5	1	1499503.7	3357.2	rm_hit
main	Modell2A	mirroredZ270	26	1500029.3	2	1502722.7	2693.4	rm_hit
main	Modell9A	mirroredZ270	26	1503245.5	2	1505524.2	2278.7	rm_hit
main	Modell13B	mirroredY270	25	1506045.1	1	1508152.6	2107.5	rm_hit
main	Modell11A	originalZ45	4	1508678	1	1511056.5	2378.5	rm_hit
main	Modell7B	originalZ270	24	1511577.6	2	1513624	2046.4	rm_hit
main	Modell12B	mirroredZ315	30	1514160.5	1	1516140	1979.5	rm_hit
main	Modell1A	originalZ45	4	1516676.8	1	1518259	1582.2	rm_hit
main	Modell10A	mirroredY90	9	1518793.2	2	1521376.8	2583.6	rm_hit
main	Modell10B	mirroredY315	29	1521909.4	1	1523302.4	1393	rm_hit
main	Modell13B	originalZ315	28	1523825.8	2	1525136.4	1310.6	rm_hit
main	Modell15B	originalY270	23	1525658.8	2	1527877.4	2218.6	rm_hit
main	Modell1B	mirroredZ225	22	1528408.4	1	1534704.2	6295.8	rm_hit
main	Modell1B	mirroredY45	5	1535240.8	1	1536772.4	1531.6	rm_hit
main	Modell5B	mirroredY135	13	1537307.1	1	1539665.8	2358.7	rm_hit
main	Modell8A	originalZ270	24	1540190	1	1543282.8	3092.8	rm_hit
main	Modell11B	originalZ225	20	1543806.2	2	1546053.8	2247.6	rm_hit
main	Modell8A	originalY45	3	1546589.1	1	1548417.5	1828.4	rm_hit
main	Modell14B	mirroredY270	25	1548938.7	1	1550537	1598.3	rm_hit
main	Modell16B	originalZ225	20	1551071.8	2	1552574.6	1502.8	rm_hit
main	Modell13A	mirroredZ90	10	1553104.8	2	1555081.1	1976.3	rm_hit
main	Modell4B	originalY135	11	1555604.4	2	1557434.8	1830.4	rm_hit
main	Modell15A	mirroredY90	9	1557970.8	2	1560756.4	2785.6	rm_hit
main	Modell7B	originalZ180	16	1561286.9	2	1564302	3015.1	rm_hit
main	Modell4B	mirroredZ45	6	1564836.4	1	1566808.7	1972.3	rm_hit
main	Modell11B	originalZ315	28	1567336	2	1569345.5	2009.5	rm_hit
